Killarney Club Management System Output (2020/8/16 16:02:45)
,Overall Rank,Overall Score,Long Jump Result,Long Jump Score,Long Jump Rank,Javelin Result,Javelin Score,Javelin Rank,200m Result,200m Score,200m Rank,Discus Result,Discus Score,Discus Rank,1500m Result,1500m Score,1500m Rank,Overall Score (Adjusted)
Haylee Nolan,1,9,10,0,9,15,3,1,2,3,1,543,3,1,,0,0,8.99992
Elvis Adkins,2,4,55.7,2,2,123,2,2,,0,0,,0,0,,0,0,3.99999
Michaela Sloan,3,3,65,3,1,,0,0,,0,0,,0,0,,0,0,3
Charles Cook,4,3,44,0,7,,0,0,,0,0,,0,0,123333,3,1,2.99994
Dalia Mccarthy,5,1,54,1,3,,0,0,,0,0,,0,0,,0,0,0.99998
Skye Morris,6,0,45,0,5,,0,0,,0,0,,0,0,,0,0,0
Jack Carpenter,7,0,9.7,0,10,,0,0,,0,0,,0,0,,0,0,0
Sergio Carrillo,8,0,44.8,0,6,,0,0,,0,0,,0,0,,0,0,0
Rachel Carney,9,0,34,0,8,,0,0,,0,0,,0,0,,0,0,0
Emerson Blankenship,10,0,54,0,4,,0,0,,0,0,,0,0,,0,0,0
