Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Maci Mann,1,4.0,99777.42,5,0,88.07000000000001,1,3.0,67122.87,673,0,99758.76000000001,3,1.0,98491.38,989,0
Ethan Hardin,2,3.0,7778.96,899,0,23752.45,236,0,46736.54,490,0,99977.01000000001,1,3.0,96457.09,967,0
Kaylynn Sweeney,3,3.0,41692.98,573,0,4065.58,48,0,319.74,1,3.0,92447.23,88,0,21182.19,200,0
Jacey Benitez,4,3.0,44031.93,550,0,33127.23,347,0,83171.65000000001,833,0,83324.82,169,0,62.96,1,3.0
Fernanda Shannon,5,3.0,99991.94,1,3.0,51956.58,516,0,21190.010000000002,210,0,29600.73,699,0,77962.15000000001,774,0
Kael Wolf,6,2.0,7286.2300000000005,902,0,98905.24,984,0,98243.86,984,0,5240.55,955,0,210.51,2,2.0
Selah Sharp,7,2.0,615.63,992,0,16926.89,164,0,45507.31,474,0,99852.86,2,2.0,75439.07,740,0
Noah Burke,8,2.0,45366.23,540,0,39185.51,402,0,503.93,2,2.0,18564.73,821,0,54385.62,542,0
Averie Terry,9,2.0,99969.12,2,2.0,92312.49,908,0,90419.47,900,0,42775.32,571,0,87296.14,873,0
Paityn Frank,10,2.0,57482.12,413,0,156.91,2,2.0,59745.130000000005,606,0,65373.79,355,0,17623.75,172,0
Skye Morris,11,1.0,81498.82,171,0,50248.04,507,0,610.95,3,1.0,17601.78,828,0,98047.31,984,0
Michaela Sloan,12,1.0,55045.47,446,0,334.12,3,1.0,62335.08,628,0,19673.31,809,0,61137.22,595,0
Jaime Davenport,13,1.0,69289.82,303,0,56906.91,563,0,35131.5,359,0,29599.86,700,0,273.04,3,1.0
Yusuf Lawrence,14,1.0,99826.40000000001,3,1.0,77120.96,763,0,94609.32,948,0,12961.710000000001,877,0,41854.12,417,0
Larue Hale,15,0,96186.19,40,0,53888.58,536,0,60745.08,615,0,24877.49,755,0,44177.770000000004,439,0
Ellsworth Mcglinchey,16,0,64554.630000000005,348,0,17687.670000000002,170,0,46690.16,489,0,15523.18,853,0,24387.49,226,0
Vanetta Fleck,17,0,64647.73,347,0,74677.44,744,0,74314.3,736,0,27890.53,727,0,86608.53,865,0
Cristopher Moro,18,0,9442.81,885,0,81720.48,806,0,35097.22,356,0,37028.12,635,0,73324.96,725,0
Ranee Garner,19,0,91031.97,84,0,69121.91,688,0,20728.78,204,0,95088.66,56,0,52542.090000000004,523,0
Rashad Hipp,20,0,21261.03,758,0,29584.010000000002,302,0,97505.72,975,0,7448.63,931,0,329.49,4,0
Teresia Giorgi,21,0,12598.93,846,0,32202.48,339,0,51729.8,535,0,4877.08,959,0,37069.11,361,0
Minta Berube,22,0,90171.15000000001,95,0,42022.6,430,0,81976.46,822,0,97762.44,20,0,8297.11,73,0
Rebecca Towne,23,0,74080.2,254,0,36532.85,378,0,1519.5,19,0,34314.49,658,0,65406.5,636,0
Tamie Dupras,24,0,14328.48,822,0,53819.590000000004,535,0,85982.98,855,0,92846.65000000001,83,0,78107.35,777,0
Loise Pittenger,25,0,89833.75,97,0,1366.16,19,0,94651.32,950,0,44522.520000000004,558,0,65056.14,630,0
Danyelle Sprankle,26,0,46586.26,530,0,81952.02,810,0,98335.48,987,0,37709.92,628,0,91097.33,913,0
Bao Valliere,27,0,24086.56,728,0,46114.81,461,0,99680.58,999,0,91040.71,99,0,47466.22,464,0
Dorinda Delzell,28,0,28543.600000000002,680,0,16853.85,163,0,42815.66,450,0,75689.73,249,0,85458.83,851,0
Soon Dejohn,29,0,13524.02,830,0,1900.68,23,0,35597.18,363,0,69750.87,310,0,61499.22,598,0
Marilee Mcclary,30,0,53079.46,464,0,22572.88,219,0,27153.37,265,0,97723.22,22,0,98542.59,992,0
Sherley Micheal,31,0,76606.43000000001,225,0,53711.520000000004,533,0,19490.21,196,0,57259.62,439,0,14322.460000000001,137,0
Diann Wassink,32,0,14312.58,823,0,38938.22,400,0,23645.63,231,0,97591.8,26,0,95411.75,953,0
Pandora Toupin,33,0,19924.11,771,0,82579.23,815,0,8149.53,79,0,44261.06,562,0,36769.11,358,0
Iva Lady,34,0,36089.44,612,0,5680.9400000000005,63,0,60525.19,613,0,14729.380000000001,863,0,889.97,7,0
Julianne Rutz,35,0,20449.25,767,0,79339.48,784,0,62018.35,625,0,16561.170000000002,841,0,25606.97,239,0
Calista Steimle,36,0,66346.3,327,0,82441.22,813,0,6097.01,56,0,55048.44,463,0,36002.3,350,0
Clarence Sweetser,37,0,35828.270000000004,615,0,25634.28,253,0,18829.68,189,0,66432.44,347,0,31689.600000000002,304,0
Marjory Vanwart,38,0,34271.82,636,0,5848.0,65,0,50245.07,523,0,8015.76,924,0,67306.68000000001,665,0
Grisel Sumner,39,0,4824.64,930,0,3680.62,43,0,83668.49,840,0,1416.29,991,0,50197.07,496,0
Sharell Vancamp,40,0,33345.08,644,0,99040.64,988,0,8972.5,87,0,34332.26,656,0,71204.27,702,0
Chana Mudd,41,0,63487.270000000004,355,0,9301.02,94,0,5259.93,45,0,72691.42,289,0,67153.9,664,0
Lea Bowker,42,0,7445.51,900,0,72863.37,725,0,19442.89,193,0,6109.84,943,0,30093.66,286,0
Christian Lucht,43,0,10773.31,872,0,20812.670000000002,204,0,42903.13,451,0,59482.28,411,0,89786.46,893,0
Yun Claiborne,44,0,55423.590000000004,441,0,17410.24,167,0,88435.38,879,0,81620.13,191,0,30213.260000000002,289,0
